epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2808.65,0.81168,1.52612,1.13133,1.10291,0.60893,0.6385,0.69192,0.44292,0.60046,0.61938,0.66859,0.41848,1.12262,2.36261,1.60878,1.38111,0.00028516,0.00028516,0.00028516
31,2900.17,0.82173,1.55678,1.14067,1.10551,0.62811,0.6438,0.69475,0.46142,0.7629,0.58541,0.6971,0.42057,1.0893,2.29959,1.59966,1.35777,0.0002812,0.0002812,0.0002812
32,2993.43,0.80789,1.49438,1.09571,1.08496,0.77034,0.5837,0.66595,0.44711,0.72125,0.53999,0.63143,0.37731,1.11757,2.45038,1.51745,1.3678,0.00027724,0.00027724,0.00027724
33,3086.01,0.82443,1.55115,1.08254,1.09884,0.62157,0.63695,0.64968,0.40804,0.72168,0.54558,0.62893,0.37802,1.05842,2.20254,1.60224,1.33535,0.00027328,0.00027328,0.00027328
34,3177.31,0.78778,1.47437,1.07423,1.076,0.61776,0.58907,0.6707,0.45311,0.60313,0.51798,0.6077,0.41221,1.07341,2.368,1.79551,1.35931,0.00026932,0.00026932,0.00026932
35,3270.04,0.79184,1.46968,1.06986,1.08719,0.58006,0.63676,0.63249,0.38725,0.60266,0.61475,0.65265,0.36871,1.11661,2.27639,1.6603,1.3683,0.00026536,0.00026536,0.00026536
36,3361.9,0.795,1.47018,1.0507,1.09042,0.78672,0.61722,0.69924,0.42745,0.7264,0.5751,0.64497,0.39309,1.06728,2.23982,1.63632,1.35156,0.0002614,0.0002614,0.0002614
37,3453.34,0.78645,1.45702,1.04487,1.08951,0.78963,0.58282,0.70661,0.44162,0.74661,0.53833,0.64543,0.39699,1.07124,2.44201,1.57523,1.34722,0.00025744,0.00025744,0.00025744
38,3545.6,0.77341,1.45071,1.0289,1.08345,0.74053,0.68499,0.70346,0.472,0.66802,0.5958,0.62524,0.42329,1.0602,2.78157,1.46865,1.31625,0.00025348,0.00025348,0.00025348
39,3637.59,0.73381,1.39301,1.00923,1.06242,0.72522,0.64682,0.70858,0.45247,0.74104,0.5665,0.63006,0.40764,1.07447,2.58443,1.46676,1.33572,0.00024952,0.00024952,0.00024952
40,3729.66,0.76477,1.41387,1.01191,1.06301,0.68805,0.68266,0.72432,0.46309,0.65609,0.65013,0.67347,0.44316,1.10398,2.40202,1.64499,1.35703,0.00024556,0.00024556,0.00024556
41,3822.34,0.75521,1.41911,0.96648,1.04819,0.59311,0.64085,0.71234,0.43707,0.57793,0.6275,0.70117,0.42341,1.13466,2.30691,1.60782,1.37089,0.0002416,0.0002416,0.0002416
42,3915.52,0.73821,1.38212,0.94533,1.05135,0.65051,0.6065,0.67372,0.425,0.67606,0.63095,0.70109,0.39717,1.06973,2.14972,1.40433,1.3416,0.00023764,0.00023764,0.00023764
43,4009.26,0.74817,1.4163,0.97933,1.06112,0.78951,0.65661,0.7127,0.45596,0.75875,0.62663,0.6715,0.41698,1.06551,2.29715,1.41277,1.33241,0.00023368,0.00023368,0.00023368
44,4102.28,0.74228,1.37867,0.94626,1.05315,0.76218,0.57487,0.70867,0.44307,0.52429,0.68239,0.68403,0.41264,1.11243,2.25953,1.50198,1.34547,0.00022972,0.00022972,0.00022972
45,4197.4,0.73382,1.41948,0.94638,1.03567,0.72023,0.61261,0.71659,0.45587,0.69239,0.58243,0.67227,0.43055,1.11826,2.25841,1.46573,1.30597,0.00022576,0.00022576,0.00022576
46,4290.48,0.72707,1.35723,0.9389,1.04616,0.63869,0.58887,0.67215,0.42115,0.67187,0.58445,0.67051,0.40105,1.15285,2.18247,1.54055,1.34764,0.0002218,0.0002218,0.0002218
47,4385.54,0.73439,1.34694,0.91355,1.02974,0.69378,0.6449,0.73514,0.47383,0.65504,0.60294,0.67417,0.41934,1.08116,2.32262,1.35787,1.34824,0.00021784,0.00021784,0.00021784
48,4478.89,0.7151,1.31168,0.92897,1.04637,0.68965,0.59121,0.69883,0.45901,0.69672,0.61586,0.69685,0.42193,1.0744,2.25148,1.36947,1.33702,0.00021388,0.00021388,0.00021388
49,4572.23,0.72155,1.29656,0.90706,1.03434,0.74203,0.65803,0.74317,0.47142,0.71067,0.61097,0.67179,0.41904,1.10585,2.43021,1.44077,1.35618,0.00020992,0.00020992,0.00020992
50,4666.01,0.70135,1.30616,0.91734,1.04134,0.67864,0.65588,0.74053,0.4802,0.67067,0.62569,0.69807,0.43437,1.10657,2.32701,1.49263,1.36526,0.00020596,0.00020596,0.00020596
51,4760.02,0.72582,1.33139,0.92046,1.04743,0.67197,0.66486,0.73487,0.46509,0.60775,0.60832,0.66866,0.43731,1.07386,2.45876,1.40704,1.32246,0.000202,0.000202,0.000202
52,4852.52,0.70314,1.31953,0.8628,1.0231,0.56187,0.67256,0.68189,0.4316,0.58428,0.69234,0.68626,0.38733,1.08998,2.42287,1.39137,1.33849,0.00019804,0.00019804,0.00019804
53,4945.07,0.70874,1.38005,0.90423,1.04238,0.5733,0.67502,0.73046,0.45165,0.55395,0.6541,0.69361,0.43141,1.10588,2.46411,1.43368,1.33762,0.00019408,0.00019408,0.00019408
54,5041.02,0.69097,1.2905,0.86417,1.0198,0.63002,0.59241,0.65315,0.4327,0.6038,0.62386,0.6878,0.37428,1.10965,2.48678,1.39127,1.33846,0.00019012,0.00019012,0.00019012
55,5134.21,0.66738,1.28553,0.84292,1.01736,0.57278,0.63696,0.68494,0.44475,0.60477,0.6561,0.71909,0.42354,1.07827,2.15054,1.33609,1.33906,0.00018616,0.00018616,0.00018616
56,5227.96,0.69214,1.28022,0.86614,1.03047,0.73098,0.60158,0.67578,0.44545,0.69517,0.64341,0.72381,0.43361,1.0837,2.23603,1.4027,1.34272,0.0001822,0.0001822,0.0001822
