epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,37.0461,0.93986,1.04047,1.41592,1.07067,0.52447,0.34798,0.39584,0.27813,0.54022,0.36,0.39964,0.29557,1.33335,2.07351,1.60755,1.29747,0.0007129,0.0007129,0.0007129
31,38.0709,0.90034,0.9414,1.26546,1.05205,0.50294,0.36629,0.40804,0.28402,0.51533,0.3786,0.40642,0.28729,1.16167,1.88962,1.58154,1.20884,0.000703,0.000703,0.000703
32,38.9775,0.84214,0.92684,1.31628,1.02833,0.50294,0.36629,0.40804,0.28402,0.51533,0.3786,0.40642,0.28729,1.16167,1.88962,1.58154,1.20884,0.0006931,0.0006931,0.0006931
33,39.9727,0.86745,0.96614,1.19425,1.0303,0.5362,0.35,0.42042,0.28535,0.85869,0.40166,0.50208,0.27289,1.30404,2.09226,1.59931,1.29244,0.0006832,0.0006832,0.0006832
34,40.9842,0.7971,0.98598,1.26388,1.01665,0.5362,0.35,0.42042,0.28535,0.85869,0.40166,0.50208,0.27289,1.30404,2.09226,1.59931,1.29244,0.0006733,0.0006733,0.0006733
35,41.9843,0.83028,0.92721,1.27592,1.03235,0.73078,0.325,0.42572,0.31434,0.86484,0.43211,0.50388,0.2946,1.20065,2.09225,1.43352,1.2962,0.0006634,0.0006634,0.0006634
36,42.8995,0.86035,0.88631,1.1159,1.04751,0.73078,0.325,0.42572,0.31434,0.86484,0.43211,0.50388,0.2946,1.20065,2.09225,1.43352,1.2962,0.0006535,0.0006535,0.0006535
37,43.9388,0.81754,0.70699,1.2033,1.04661,0.49123,0.37171,0.46318,0.35769,0.73317,0.36245,0.46323,0.32271,1.04907,2.05957,1.31853,1.20911,0.0006436,0.0006436,0.0006436
38,44.9618,0.84025,0.99682,1.23912,1.04195,0.49123,0.37171,0.46318,0.35769,0.73317,0.36245,0.46323,0.32271,1.04907,2.05957,1.31853,1.20911,0.0006337,0.0006337,0.0006337
39,45.9727,0.83991,0.95139,1.16951,1.04423,0.77457,0.30376,0.47543,0.34338,0.98781,0.41543,0.57425,0.31473,1.20481,2.1291,1.28505,1.28276,0.0006238,0.0006238,0.0006238
40,46.9144,0.7916,0.91877,1.37301,1.00178,0.77457,0.30376,0.47543,0.34338,0.98781,0.41543,0.57425,0.31473,1.20481,2.1291,1.28505,1.28276,0.0006139,0.0006139,0.0006139
41,47.9005,0.77637,0.88533,1.14894,1.00177,0.75511,0.31358,0.44315,0.3036,0.9456,0.41921,0.54545,0.30933,1.25769,1.88167,1.36455,1.30987,0.000604,0.000604,0.000604
42,48.8606,0.78751,0.91954,1.12705,1.00479,0.75511,0.31358,0.44315,0.3036,0.9456,0.41921,0.54545,0.30933,1.25769,1.88167,1.36455,1.30987,0.0005941,0.0005941,0.0005941
43,49.8403,0.81829,0.79102,1.15755,1.01215,0.77529,0.35,0.45841,0.3258,0.77529,0.35,0.46258,0.32386,1.23429,1.78744,1.36835,1.31169,0.0005842,0.0005842,0.0005842
